Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Similar dynamic tibiofemoral movements during jump-landing and walking but distinct hamstrings strength across ACL reconstruction autograft types at mid-term follow-up.,Vendrig T; Keizer MNJ; Brouwer RW; Houdijk H; Hoogeslag RAG,"PURPOSE: Dynamic tibiofemoral movements following anterior cruciate ligament reconstruction (ACLR) with quadriceps tendon (QT) autografts have not yet been compared to other autografts. We aimed to compare dynamic anterior tibial translation (ATTd) and internal tibial rotation (ITRd) during jump-landing and walking among patients with QT, bone-patellar tendon-bone (BPTB) and hamstrings tendon (HT) autografts at mid-term follow-up. The secondary aim was to compare lower extremity strength among autografts. METHODS: Patients were included from a previous randomized controlled trial (randomly received primary ACLR with a QT, BPTB or HT autograft), and were prospectively assessed for additional analyses. Primary outcome measures were side-to-side differences in ATTd and ITRd during the side hop, single-leg hop for distance, triple hop for distance, double-leg drop-jump and walking, measured using 3D optoelectronic motion capture, and statistically analyzed using statistical parametric mapping. Moreover, isometric hamstrings and quadriceps strength limb symmetry index (LSI) were assessed using a dynamometer. RESULTS: Thirty patients were included at 4.7 ± 1.8 years (range: 1.4-7.2) post-ACLR (n = 10 per autograft; age: 31.0 ± 4.8 years). No significant between-group differences were observed for side-to-side difference in ATTd and ITRd during all dynamic tasks (p > 0.05). QT and BPTB autograft groups demonstrated greater isometric hamstrings strength LSI (QT = 98.4% vs. BPTB = 99.3% vs. HT = 79.0%; p = 0.02) and greater hamstrings/quadriceps strength ratio LSI (QT = 102.0% vs. BPTB = 104.6% vs. HT = 79.6%; p = 0.01) compared to the HT autograft, but quadriceps strength was similar among autografts. CONCLUSIONS: Patients who underwent ACLR with QT autografts demonstrated similar side-to-side differences in ATTd and ITRd compared to patients with BPTB and HT autografts 5 years post-ACLR, without demonstrating graft-harvest-related strength deficits, whereas patients with HT autografts showed persistent hamstrings weakness. Graft selection should consider persistent hamstrings strength deficits in patients with HT autografts, while ATTd and ITRd are not autograft-dependent. These findings support QT autografts as a viable option for ACLR. LEVEL OF EVIDENCE: Level II.",2026,Jan,Knee Surg Sports Traumatol Arthrosc,,,,,10.1002/ksa.70275,41562143,#26,Vendrig 2026,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
"Regional Anesthesia Utilizing Liposomal Bupivacaine, With or Without Dexamethasone, Provides Excellent Pain Control and Minimizes Opioid Consumption Following Anterior Cruciate Ligament Reconstruction.",Johns WL; Voskeridjian A; Miltenberg B; Muchintala R; Dodson CC; Cohen SB; Salvo J; Sherman M; Ciccotti MG; Hammoud S,"BACKGROUND: Perioperative nerve blocks are commonly used for regional analgesia with anterior cruciate ligament (ACL) reconstruction (ACLR). Liposomal bupivacaine (LB) is a long-acting anesthetic agent providing up to 72 hours of nerve blockade. It is theorized that the addition of dexamethasone to LB (LB+dex) may prolong the analgesic duration. PURPOSE: To characterize pain control and opioid consumption with adductor canal block (ACB), interspace between the popliteal artery and capsule of the posterior knee (iPACK), and suprasartorial infiltration (SSI) regional anesthetic techniques utilizing LB after ACLR and to compare LB versus LB+dex. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Patients undergoing primary ACLR using bone-patellar tendon-bone or quadriceps tendon autograft were included. All patients received an ACB, iPACK, and SSI preoperatively. Patients were randomized to receive either LB or LB+dex for their anesthetic agent. Opioid consumption, visual analog scale (VAS) scores, pain control satisfaction, and duration of block effect were recorded postoperatively. RESULTS: A total of 131 patients were included in the analysis. The mean opioid consumption for all patients was 1.20 ± 2.42 five-mg oxycodone tablets (8.97 ± 18.12 morphine milliequivalents [MME]). We did not observe a significant difference in oxycodone consumption between cohorts during the study period (1.42 ± 2.92 vs 0.97 ± 1.91; 10.65 ± 21.90 MME vs 7.28 ± 14.33 MME; P = .76). An estimated 95.2% of opioids prescribed went unused and 77.1% (101/131) of patients consumed no opioids. There was no significant difference in VAS score, patient satisfaction, or duration of block effect between cohorts. CONCLUSION: A single shot of LB with or without dexamethasone via ACB, SSI, and iPACK block provided excellent pain control and minimized opioid consumption after autograft ACLR. Nearly 80% of patients did not require opioids postoperatively, making opioid-free ACLR a realistic possibility for many patients. When narcotics were required, the dose of opioids was minimal; patients required 1.2 tablets of oxycodone on average, and >95% of the opioids prescribed went unused. Despite previous reports suggesting a prolonged duration of anesthetic effect when LB is combined with dexamethasone, we found no difference in opioid consumption, VAS score, patient satisfaction, or duration of block effect when patients received dexamethasone with their regional block. The utilization of regional anesthetic techniques such as ACB, SSI, and iPACK blocks in conjunction with LB-based anesthetics could allow providers to curtail or potentially eliminate opioid prescriptions after ACL surgery. REGISTRATION: NCT06006624 (ClinicalTrials.gov identifier).",2026,Jan,Orthop J Sports Med,14,1,23259671251401596,ClinicalTrials.gov/NCT06006624,10.1177/23259671251401596,41522461,#28,Johns 2026,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Semitendinosus vs quadriceps tendon autograft in anterior cruciate ligament reconstruction (SEQUAR): protocol for a prospective randomized controlled trial.,Castellanos Dolk D; Sarakatsianos V; Wörner T; Östin M; Cristiani R; Kvist J; Stålman A,"BACKGROUND: Anterior cruciate ligament (ACL) rupture is a devastating injury for most individuals, especially in athletes with the desire to go back to pivoting sports. In ACL reconstruction (ACL-R), multiple autograft options are available, each with distinct advantages and limitations. The quadriceps tendon (QT) autograft has gained increasing attention due to its favorable biomechanical properties and lower donor site morbidity, yet studies comparing only athletic populations remains limited. This study protocol describes a randomized controlled trial (RCT) aiming to compare QT autograft with bone-block (QT-B) with semitendinosus tendon (ST) autograft in athletes undergoing primary ACL-R. METHODS: This is a single center RCT. Two Hundred ACL-R patients aged 16-40 years with a Tegner Activity Scale (TAS) of ≥ 7 prior to the ACL injury will be randomized to receive either a ST graft or a QT-B graft at the time of ACL-R. All participants will receive standard postoperative care and rehabilitation, followed by comprehensive follow-up. The primary outcome was the side-to-side (STS) difference in anterior tibial translation (ATT) at 6 months. Secondary outcomes include patient-reported outcome measures (PROMs), isokinetic strength testing, imaging-based graft evaluation, surgical and clinical events, and 10-year radiographic evidence of joint degeneration. Detailed definitions and timepoints are provided in the full manuscript (Table 1). DISCUSSION: This protocol is the first RCT comparing the ST autograft to the QT-B autograft exclusively in athletes with TAS ≥ 7 undergoing ACL-R. In addition, this trial has the ambition of including 200 patients, thereby making it the largest trial to compare these two grafts to date. The successful completion of the trial has the potential to change current practice and contribute to the existing knowledge regarding graft choice in athletes undergoing ACL-R. TRIAL REGISTRATION: The trial is registered at ClinicalTrials.gov: NCT04295148. Registered date: 4 Mar 2020 (retrospectively registered).",2025,Oct,BMC Musculoskelet Disord,26,1,951,ClinicalTrials.gov/NCT04295148,10.1186/s12891-025-09183-w,41083992,#34,CastellanosDolk 2025,Exclusion reason: Wrong study design; ,Possible RCT
[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport].,García-Linage R; Lassard-Rosenthal J; Noval-García R; Muñiz-Madrazo A; Fraind-Maya G; Palmero-Picazo J; German-Córdoba I; Zimbrón-López D,"INTRODUCTION: anterior cruciate ligament rupture has evolved to be one of the most common sports injuries with a remarkable increase in its incidence in the last two decades, with Return-To-Sport being a crucial approach in the choice of autologous graft for its surgical repair, the most commonly used being hamstring and quadriceps tendon graft. MATERIAL AND METHODS: a prospective randomized study was performed with 32 patients divided into two groups, one for each type of graft, with 13 patients in each. They were evaluated before surgery, at 30, 180 and 360 days after the procedure using scales such as Lysholm, mCKRS and ACL-RSI, and their previous activity level was considered using the Tegner score. RESULTS: it was observed that, at 30 and 180 days after surgery, there were significant differences in pain assessment using the VAS scale between the groups, while at 360 days no significant differences were observed. No significant differences were found in Lysholm and mCKRS scale scores in either group at days 30, 180, and 360, but significant differences were found in ACL-RSI scale scores at 30 and 180 days between the two groups, which did not hold at 360 days. CONCLUSION: despite the difference in postoperative pain, Return-To-Sport times and overall recovery showed no significant differences between the two types of grafts in this study.",2025,Jan-Feb,Acta Ortop Mex,39,1,19-26,,,39855903,#61,García-Linage 2025,Exclusion reason: Full-text written in a language other than English.; ,Possible RCT
Postoperative Pain Control After ACL Reconstruction With Semitendinosus Tendon Graft: A Randomized Controlled Trial Comparing Adductor Canal Block to Local Infiltration Analgesia.,Sumanont S; Jaruwanneechai K; Wittayapairoj A; Apiwatanakul P; Boonrod A,"BACKGROUND: Both adductor canal block (ACB) and local infiltration (LI) are effective for postoperative pain management after arthroscopic-assisted anterior cruciate ligament (ACL) reconstruction (ACLR). While LI is a more straightforward procedure, its effectiveness remains debated. PURPOSE: To evaluate morphine consumption within 48 hours after ACLR with a semitendinosus tendon graft, comparing ACB and LI; secondary objectives: to evaluate pain levels, patient satisfaction, quadriceps strength, range of knee motion, and complications. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Patients undergoing primary ACLR with a semitendinosus tendon graft were randomized to receive either ACB (0.25% bupivacaine; 20 mL) or LI at the surgical wound, graft harvest area, and intra-articular injection. The LI group received morphine (3 mg), ketorolac (30 mg), and tranexamic acid (1 g). Morphine consumption within 48 hours was monitored using an intravenous patient-controlled analgesia device. RESULTS: A total of 48 patients were analyzed (n = 24 in each group); baseline characteristics were similar between groups. The LI group consumed significantly less morphine than the ACB group at 6 hours (median [interquartile range, IQR], 3 mg [0-4.8 mg] for the LI group vs 5.5 mg [2-9] for the ACB group; P = .003). However, no significant differences were observed in morphine consumption at other time points. Additionally, no significant difference was found in cumulative morphine consumption at 48 hours between the groups (median [IQR], 21.5 mg [11-34.5 mg] for the ACB group vs 16.5 mg [8.5-21.8 mg] for the LI group; P = .137). Postoperative pain scores, quadriceps strength, and patient satisfaction were similar between the 2 groups. CONCLUSION: Morphine consumption at 48 hours postoperatively was comparable between the LI and ACB groups, and no significant group differences were found in postoperative pain, quadriceps strength, or patient satisfaction. REGISTRATION: TCTR20190320003 (Thai Clinical Trial Registry).",2024,Nov,Orthop J Sports Med,12,11,23259671241292604,,10.1177/23259671241292604,39555324,#66,Sumanont 2024,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
External validation of the Norwegian anterior cruciate ligament reconstruction revision prediction model using patients from the STABILITY 1 Trial.,Martin RK; Marmura H; Wastvedt S; Pareek A; Persson A; Moatshe G; Bryant D; Wolfson J; Engebretsen L; Getgood A,"PURPOSE: A machine learning-based anterior cruciate ligament (ACL) revision prediction model has been developed using Norwegian Knee Ligament Register (NKLR) data, but lacks external validation outside Scandinavia. This study aimed to assess the external validity of the NKLR model (https://swastvedt.shinyapps.io/calculator_rev/) using the STABILITY 1 randomized clinical trial (RCT) data set. The hypothesis was that model performance would be similar. METHODS: The NKLR Cox Lasso model was selected for external validation owing to its superior performance in the original study. STABILITY 1 patients with all five predictors required by the Cox Lasso model were included. The STABILITY 1 RCT was a prospective study which randomized patients to receive either a hamstring tendon autograft (HT) alone or HT plus a lateral extra-articular tenodesis (LET). Since all patients in the STABILITY 1 trial received HT ± LET, three configurations were tested: 1: all patients coded as HT, 2: HT + LET group coded as bone-patellar tendon-bone (BPTB) autograft, 3: HT + LET group coded as unknown/other graft choice. Model performance was assessed via concordance and calibration. RESULTS: In total, 591/618 (95.6%) STABILITY 1 patients were eligible for inclusion, with 39 undergoing revisions within 2 years (6.6%). Model performance was best when patients receiving HT + LET were coded as BPTB. Concordance was similar to the original NKLR prediction model for 1- and 2-year revision prediction (STABILITY: 0.71; NKLR: 0.68-0.69). Concordance 95% confidence interval (CI) ranged from 0.63 to 0.79. The model was well calibrated for 1-year prediction while the 2-year prediction demonstrated evidence of miscalibration. CONCLUSION: When patients in STABILITY 1 who received HT + LET were coded as BPTB in the NKLR prediction model, concordance was similar to the index study. However, due to a wide 95% CI, the true performance of the prediction model with this Canadian and European cohort is unclear and a larger data set is required to definitively determine the external validity. Further, better calibration for 1-year predictions aligns with general prediction modelling challenges over longer periods. While not a large enough sample size to elicit the true accuracy and external validity of the prediction model when applied to North American patients, this analysis provides more support for the notion that HT plus LET performs similarly to BPTB reconstruction. In addition, despite the wide confidence interval, this study suggests optimism regarding the accuracy of the model when applied outside of Scandinavia. LEVEL OF EVIDENCE: Level 3, cohort study.",2024,Feb,Knee Surg Sports Traumatol Arthrosc,32,2,206-213,,10.1002/ksa.12031,38226736,#86,Martin 2024,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Effects of exercise prehabilitation before anterior cruciate ligament reconstruction on functional outcomes during pre- and postoperative rehabilitation - protocol for a single-blinded randomised controlled trial.,Abel R; Niederer D; Offerhaus C; Shafizadeh S; Glowa A; Froböse I; Wilke C,"BACKGROUND: Although a benefit of preoperative training prior to anterior cruciate ligament (ACL) reconstruction is likely, there is no consensus on the optimal content (criteria-based programme), supervision (one-on-one guidance or self-administered training) and general setting of preoperative training after ACL injuries. The purpose of this trial is to investigate the efficacy of an individually adaptive, guided, structured and criteria-based preoperative rehabilitation programme in comparison to a non-guided and self-administered home training programme. METHODS: The planned single-blinded randomised controlled trial study was approved by the ethics committee of the German Sport University on June 14, 2022 (ethics application no. 093/2022) and prospectively registered (DRKS-ID: DRKS00030312; date of registration: 26.09.2022). N = 114 participants between 16 and 60 years of age with a unilateral ACL rupture and scheduled ACL reconstruction with a hamstring or quadriceps tendon autograft will be randomly (block-randomisation, 1:1 allocation) and blinded assigned to one of two groups: intervention group (structured, criteria-based, guided prehabilitation training) and comparator group (non-guided, self-administered home training). After surgical reconstruction, patients of both groups participate in the same standard, functional measurement-guided, postoperative rehabilitation programme. Stepwise increasing the functional requirements of the assessments, all participants participate in testing at the day of anamnesis (t1), 1-7 days before surgical reconstruction (t2), day of surgical reconstruction (t3) and 30 (t4), 60 (t5), 90 (t6) and 180 (t7) days post-reconstruction. The primary outcome is the overall self-reported knee condition, assessed by the sum score of all sub-scales of the Knee injury and Osteoarthritis Outcome Score (KOOS). Secondary outcomes include functional outcomes (range of motion, knee flexors and extensors and plantar flexors strength/torque, functional postural control, jumping ability), workability and return to sport (RTS) (psychological readiness, RTS success). DISCUSSION: The planned study targets to fill a gap in the evidence regarding effective designs of prehabilitation training before surgical ACL reconstruction. Potential difficulties that could affect the conduct of the study are lack of treatment adherence of the patients and high dropout. TRIAL REGISTRATION: German Register of Clinical Trials DRKS-ID: DRKS00030312 . Registered on 26 September 2022.",2023,Nov,Trials,24,1,752,,10.1186/s13063-023-07776-1,38001510,#90,Abel 2023,Exclusion reason: Wrong study design; ,Possible RCT
Anatomic single vs. double-bundle ACL reconstruction: a randomized clinical trial-Part 1: clinical outcomes.,Irrgang JJ; Tashman S; Patterson CG; Musahl V; West R; Oostdyk A; Galvin B; Poploski K; Fu FH,"PURPOSE: Compare clinical outcomes of anatomic single-bundle (SB) to anatomic double-bundle (DB) anterior cruciate ligament reconstruction (ACLR). It was hypothesized that anatomic DB ACLR would result in better International Knee Documentation Committee Subjective Knee Form (IKDC-SKF) scores and reduced anterior and rotatory laxity compared to SB ACLR. METHODS: Active individuals between 14 and 50 years of age that presented within 12 months of injury were eligible to participate. Individuals with prior injury or surgery of either knee, greater than a grade 1 concomitant knee ligament injury, or ACL insertion sites less than 14 mm or greater than 18 mm were excluded. Subjects were randomized to undergo SB or DB ACLR with a 10 mm-wide quadriceps tendon autograft harvested with a patellar bone block and were followed for 24 months. The primary outcome measures included the IKDC-SKF and KT-1000 (side to side difference) and pivot shift tests. Other secondary outcomes included measures of sports activity and participation, range of motion (ROM) and re-injury. RESULTS: Enrollment in the study was suspended due to patellar fractures related to harvest of the patellar bone plug. At that time, 57 subjects had been randomized (29 DB) and two-year follow-up was attained from 51 (89.5%). At 24-month follow-up there were no between-group differences detected for the primary outcomes. Twenty-one (77.8%) DB's and 20 (83.3%) SB's reported returning to pre-injury sports 2 years after surgery (n.s) Three subjects (2 DB's, 5.3% of total) sustained a graft rupture and 5 individuals (4 SB's, 8.8% of total) had a subsequent meniscus injury. CONCLUSIONS: Due to the early termination of the study, there were no detectable differences in clinical outcome between anatomic SB and DB ACLR when performed with a quadriceps tendon autograft with a bone block in individuals with ACL insertion sites that range from 14 to 18 mm. LEVEL OF EVIDENCE: Level 2.",2021,Aug,Knee Surg Sports Traumatol Arthrosc,29,8,2665-2675,,10.1007/s00167-021-06585-w,33970295,#157,Irrgang 2021,Exclusion reason: Did not compare at least two of the specified graft types; ,Possible RCT
Comparison of knee sonography and pressure pain threshold after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players.,Martin-Alguacil JL; Arroyo-Morales M; Martin-Gómez JL; Lozano-Lozano M; Galiano-Castillo N; Cantarero-Villanueva I,"OBJECTIVE: The aim of this study was to compare the pressure pain threshold and muscle architecture after an anatomic single bundle reconstruction with quadriceps tendon and hamstring tendon autografts of the anterior cruciate ligament in competitive soccer players. We hypothesized that both procedures will obtain similar outcomes. METHODS: Fifty-one participants were enrolled in this secondary analysis of a randomized controlled trial and were categorised into two groups: quadriceps tendon (QT) group (23 men and 3 women; mean age 18.7 ± 3.6; BMI 23.0 ± 2.2) or hamstring tendon (HT) group (16 men and 9 women; mean age 19.2 ± 3.6 BMI 23.5 ± 3.5). Both groups followed the same rehabilitation staged protocol. Pressure pain threshold (PPT), as a measure of perceived pain, was obtained in several points of quadriceps and hamstring muscles. Ultrasound imaging measurements were obtained in quadriceps tendon and knee cartilage thickness. Four measurements were taken in this study: baseline, 1, 3, 6, and 12 months after the anterior cruciate ligament (ACL) reconstruction. RESULTS: The analysis of PPT did not find significant differences in both groups × interaction time in the points evaluated: epicondyle (QT = 421.1 ± 184.1 vs HT = 384.7 ± 154.1 kPa), vastus lateralis (QT = 576.2 ± 221.3 vs HT = 560.1 ± 167.7 kPa), vastus medialis (QT = 544.7 ± 198.8 vs HT = 541.1.1 ± 181.77 kPa), patellar tendon (QT = 626.3 ± 221.1 vs HT = 665.0 ± 205.5 kPa), QT (QT = 651.1 ± 276.9 vs HT = 660.0 ± 195.2 kPa). (QT = 667.8 ± 284.7 vs HT = 648.2 ± 193.4 kPa) injured knee (all P > 0.05). The results of ultrasound imaging did not show significant differences in both groups × interaction time in the thickness of the QT (QT = 9.9 ± 2.4 vs HT = 9.4 ± 1.7 kPa) and patellar cartilage (QT = 3.2 ± 0.6 vs HT = 3.2 ± 0.4 kPa) (P > 0.05). CONCLUSION: A QT autograft produces similar results to a HT autograft in ACL reconstructions in terms of pressure pain threshold and ultrasound muscle architecture during the 1-year follow-up. LEVEL OF EVIDENCE: Level I, Therapeutic Study.",2019,Jul,Acta Orthop Traumatol Turc,53,4,260-265,,10.1016/j.aott.2019.04.012,31201076,#221,Martin-Alguacil 2019,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Contrast-Enhanced MRI Evaluation of Bone-Patellar Tendon-Bone and Hamstring ACL Autograft Healing in Humans: A Prospective Randomized Study.,Covey DC; Sandoval KE; Riffenburgh RH,"BACKGROUND: Gadopentetate dimeglumine-enhanced magnetic resonance imaging (MRI), or gadolinium-enhanced MRI, was used to prospectively study the postoperative course of bone-patellar tendon-bone (BPTB) and combined semitendinosus and gracilis (STG) tendon autografts following arthroscopically assisted reconstruction of the anterior cruciate ligament (ACL) in humans. Gadopentetate dimeglumine is a contrast agent that has been shown to enhance the signal of vascularized tissue when examined by MRI. PURPOSE: To prospectively determine and compare the pattern and timing of autograft revascularization following arthroscopically assisted ACL reconstruction by BPTB or STG autografts. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 73 patients (63 males, 10 females) with ACL tears who were scheduled to undergo reconstruction consented to participate in this study. The patients were randomized to receive arthroscopically assisted reconstruction of the ACL employing either BPTB or STG autografts. Gadolinium-enhanced MRI scans were scheduled at 3-month intervals during the first postoperative year to assess the integrity, timing, and pattern of enhancement of the ACL graft. The temporal sequence and morphologic characteristics of imaged signals were compared for both types of ACL reconstructions. RESULTS: Based on all knees with 1 exception, there were no statistically significant differences in gadopentetate dimeglumine-mediated graft enhancement grade observed between BPTB and STG autografts. CONCLUSION: The results suggest that autograft revascularization probably varies in intensity and location during the time course of graft healing. The interval signal changes observed 3 to 9 months, but especially 6 to 9 months, postoperatively are due to increased contrast uptake as a reflection of ongoing neovascularization during the process of ligamentization.",2018,Oct,Orthop J Sports Med,6,10,2325967118800298,,10.1177/2325967118800298,30349838,#234,Covey 2018,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
